City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,margate,51.3813,1.3862,7.61,84,60,5.41,GB,1682057360
83,hotan,37.0997,79.9269,12.89,38,96,1.57,CN,1682057361
84,gorom-gorom,14.4439,-0.2361,30.58,13,100,3.78,BF,1682057361
85,tazovsky,67.4667,78.7,-3.43,90,100,5.68,RU,1682057362
86,laguna,38.421,-121.4238,16.08,63,0,2.06,US,1682057362
87,fale old settlement,-9.3852,-171.2468,28.8,73,85,3.99,TK,1682057363
88,birjand,32.8663,59.2211,21.72,13,0,3.15,IR,1682057363
89,kuqa,41.7278,82.9364,15.85,23,91,4.63,CN,1682057363
90,beni saf,35.301,-1.3823,10.16,59,0,1.52,DZ,1682057364
91,whitehorse,60.7161,-135.0538,2.43,75,75,2.06,CA,1682057364
92,kodiak,57.79,-152.4072,4.73,60,0,0.0,US,1682057365
93,altai,46.3722,96.2583,-0.59,20,4,4.26,MN,1682057365
94,tiksi,71.6872,128.8694,-11.65,90,100,6.59,RU,1682057365
95,ketchikan,55.3422,-131.6461,6.99,81,0,0.0,US,1682057366
96,petnjica,42.9092,19.9638,8.27,79,10,0.75,ME,1682057366
97,aasiaat,68.7098,-52.8699,-12.5,94,99,2.09,GL,1682057367
98,gleisdorf,47.1061,15.7127,11.59,87,100,0.87,AT,1682057367
99,ixtlahuacan del rio,20.8667,-103.25,19.92,35,21,1.52,MX,1682057367
100,geraldton,-28.7667,114.6,29.23,24,50,6.69,AU,1682057368
101,saipan,15.1355,145.701,30.39,100,20,8.75,MP,1682057280
102,okhotsk,59.3833,143.3,2.07,83,100,3.88,RU,1682057369
103,port alfred,-33.5906,26.891,15.1,61,21,2.68,ZA,1682057369
104,tharangambadi,11.0319,79.8528,34.8,51,34,6.34,IN,1682057370
105,tual,-5.6667,132.75,28.37,74,48,4.37,ID,1682057370
106,akjoujt,19.6969,-14.4164,21.6,46,99,7.04,MR,1682057371
107,kargasok,59.0556,80.8572,3.41,86,100,2.5,RU,1682057371
108,margaret river,-33.95,115.0667,21.21,46,1,2.81,AU,1682057372
109,piacabucu,-10.4056,-36.4344,24.73,83,11,3.22,BR,1682057372
110,betio village,1.358,172.9211,30.02,77,78,4.75,KI,1682057373
111,laojunmiao,39.8333,97.7333,2.6,51,100,4.97,CN,1682057373
112,ghanzi,-21.5667,21.7833,20.36,31,85,2.29,BW,1682057374
113,harper,4.375,-7.7169,26.46,83,100,1.75,LR,1682057374
114,reggane,26.7158,0.1714,22.97,25,0,3.91,DZ,1682057375
115,santa cruz de bezana,43.4437,-3.9032,12.59,93,75,1.54,ES,1682057375
116,new norfolk,-42.7826,147.0587,21.72,87,100,2.14,AU,1682057376
117,bethel,41.3712,-73.414,10.78,68,20,0.45,US,1682057376
118,edinburgh of the seven seas,-37.0676,-12.3116,19.14,97,98,5.12,SH,1682057376
119,nar'yan-mar,67.6713,53.087,-1.52,93,96,4.15,RU,1682057377
120,upington,-28.4478,21.2561,9.21,71,0,2.06,ZA,1682057377
121,cidreira,-30.1811,-50.2056,15.83,76,61,1.61,BR,1682057378
122,sandakan,5.8402,118.1179,30.58,62,75,3.45,MY,1682057211
123,alice springs,-23.7,133.8833,23.75,31,82,7.2,AU,1682057361
124,east london,-33.0153,27.9116,16.53,55,60,7.92,ZA,1682057379
125,klyuchi,52.2667,79.1667,3.41,42,8,1.52,RU,1682057379
126,invercargill,-46.4,168.35,11.68,82,50,0.89,NZ,1682057379
127,maragogi,-9.0122,-35.2225,25.7,78,34,2.77,BR,1682057380
128,dunedin,-45.8742,170.5036,11.56,10,86,1.34,NZ,1682057380
129,padang,-0.9492,100.3543,31.03,75,65,2.69,ID,1682057216
130,nayagarh,20.1333,85.1,38.63,17,68,6.07,IN,1682057381
131,chibougamau,49.9168,-74.3659,-5.18,95,100,0.62,CA,1682057382
132,lihue,21.9789,-159.3672,21.77,86,75,2.57,US,1682057383
133,kristiansund,63.1115,7.732,6.03,93,20,2.06,NO,1682057383
134,novovarshavka,54.1721,74.6946,6.58,23,79,5.18,RU,1682057383
135,tumayr,25.7039,45.868,27.7,19,0,2.98,SA,1682057384
136,cova figueira,14.8905,-24.2934,20.27,79,89,6.84,CV,1682057384
137,nemuro,43.3236,145.575,8.29,53,60,7.91,JP,1682057137
138,nantucket,41.2835,-70.0995,8.33,82,75,4.63,US,1682057385
139,bikenibeu village,1.3673,173.1241,29.98,74,20,2.57,KI,1682057386
140,wanning,18.8003,110.3967,31.18,70,22,5.84,CN,1682057386
141,metahara,8.9,39.9167,27.46,50,58,0.51,ET,1682057387
142,iskateley,67.6803,53.1512,-1.58,93,96,4.14,RU,1682057387
143,jamestown,42.097,-79.2353,17.8,64,0,2.57,US,1682057388
144,galle,6.0367,80.217,30.36,66,15,4.1,LK,1682057388
145,hithadhoo,-0.6,73.0833,29.23,71,97,3.48,MV,1682057389
146,paradip garh,20.3167,86.6167,37.17,31,66,4.81,IN,1682057389
147,lodja,-3.4833,23.4333,21.73,98,100,0.76,CD,1682057390
148,lompoc,34.6391,-120.4579,15.47,77,0,5.14,US,1682057390
149,dodge city,37.7528,-100.0171,8.85,31,20,2.06,US,1682057390
150,susuman,62.7833,148.1667,-2.18,79,100,4.07,RU,1682057391
151,kirensk,57.7853,108.1119,-0.22,54,99,3.84,RU,1682057391
152,puerto aysen,-45.4,-72.7,10.78,98,93,2.73,CL,1682057391
153,canicattini bagni,37.0329,15.0634,14.97,88,100,5.55,IT,1682057392
154,saint-francois,46.4154,3.9054,2.6,93,100,1.03,FR,1682057392
155,den burg,53.0542,4.7972,9.99,83,100,6.69,NL,1682057393
156,idri,27.5,13.2667,23.41,10,68,7.33,LY,1682057393
157,vyaz'ma,55.2104,34.2951,8.43,59,3,4.41,RU,1682057393
158,yellowknife,62.456,-114.3525,-1.91,74,17,1.34,CA,1682057394
159,mitu,1.1983,-70.1733,22.6,99,100,2.37,CO,1682057394
160,valparaiso,-33.0393,-71.6273,16.67,62,100,2.06,CL,1682057395
161,kenai,60.5544,-151.2583,5.05,56,0,2.57,US,1682057395
162,pisco,-13.7,-76.2167,22.03,83,0,3.6,PE,1682057396
163,punta del este,-34.9667,-54.95,12.2,88,6,1.79,UY,1682057396
164,lebu,-37.6167,-73.65,13.25,95,100,1.68,CL,1682057397
165,smithers,54.7804,-127.1743,6.18,65,100,1.03,CA,1682057397
166,solnechnyy,50.7214,136.6319,0.25,92,100,5.82,RU,1682057397
167,greymouth,-42.4667,171.2,15.57,97,100,1.85,NZ,1682057398
168,santa vitoria,-18.8386,-50.1214,15.31,80,16,2.29,BR,1682057398
169,hamilton,39.1834,-84.5333,19.91,51,75,4.12,US,1682057399
170,quelimane,-17.8786,36.8883,23.97,94,20,0.0,MZ,1682057399
171,severnoye,56.3491,78.3619,6.38,38,41,5.17,RU,1682057399
172,tarko-sale,64.9225,77.785,0.02,100,100,4.76,RU,1682057400
173,collie,-33.3667,116.15,25.97,22,36,2.87,AU,1682057400
174,coquimbo,-29.9533,-71.3436,15.85,82,75,2.06,CL,1682057401
175,clevelandia,-26.3958,-52.4708,6.53,82,0,2.05,BR,1682057401
